source,dataset,attack,model,metric,n,mean_delta_auc,std_delta_auc,ci95_low,ci95_high,privacy_improvement_seed_count,exact_sign_p_one_sided,interpretation
bnci_lee_validation,bnci2014_001,validation:subject-id,bottleneck_eegnet,subject_id_accuracy,4,-0.26832561728395066,0.050598990314385146,-0.34883990217251526,-0.18781133239538605,4,0.0625,directionally-supported
bnci_lee_validation,bnci2014_001,validation:subject-id,adversarial_eegnet,subject_id_accuracy,4,-0.08603395061728397,0.084643572899939,-0.22072076353801898,0.04865286230345103,3,0.3125,promising-but-underpowered
bnci_lee_validation,bnci2014_001,validation:subject-id,csp_lda,subject_id_accuracy,4,-0.005979938271604923,0.03909316957614231,-0.06818589481132756,0.056226018268117704,2,0.6875,unstable-privacy-edge
bnci_lee_validation,bnci2014_001,validation:learned(mlp),csp_lda,attack_auc,4,-0.02152069282502668,0.009398064170541795,-0.03647511012320925,-0.006566275526844106,4,0.0625,directionally-supported
bnci_lee_validation,bnci2014_001,validation:learned(mlp),bottleneck_eegnet,attack_auc,4,0.0007361801745160573,0.02327590461317833,-0.0363009781446631,0.03777333849369521,3,0.3125,practical-tie
bnci_lee_validation,bnci2014_001,validation:learned(mlp),adversarial_eegnet,attack_auc,4,0.012214101318396578,0.032514920864134225,-0.0395243935669405,0.06395259620373366,2,0.6875,no-privacy-improvement
bnci_lee_validation,bnci2014_001,validation:learned,bottleneck_eegnet,attack_auc,4,0.0020189138469745432,0.02153391595062219,-0.03224635178070518,0.03628417947465427,1,0.9375,practical-tie
bnci_lee_validation,bnci2014_001,validation:learned,csp_lda,attack_auc,4,0.021348927373875906,0.030316383223951186,-0.026891203516446728,0.06958905826419853,2,0.6875,no-privacy-improvement
bnci_lee_validation,bnci2014_001,validation:learned,adversarial_eegnet,attack_auc,4,0.03813341859091594,0.035277669865313645,-0.018001226470036748,0.09426806365186863,1,0.9375,no-privacy-improvement
bnci_lee_validation,bnci2014_001,validation:learned+label,bottleneck_eegnet,attack_auc,4,0.00013217306812980667,0.010120093570425424,-0.0159711541280359,0.016235500264295512,2,0.6875,practical-tie
bnci_lee_validation,bnci2014_001,validation:learned+label,csp_lda,attack_auc,4,0.016909817482091097,0.04074915154397492,-0.047931175905204654,0.08175081086938685,2,0.6875,no-privacy-improvement
bnci_lee_validation,bnci2014_001,validation:learned+label,adversarial_eegnet,attack_auc,4,0.02421297487044652,0.03491506571527434,-0.031344686071719516,0.07977063581261255,2,0.6875,no-privacy-improvement
bnci_lee_validation,bnci2014_001,validation:threshold(label-known),csp_lda,attack_auc,4,-0.03866888324474174,0.008987425184363818,-0.05296988228074043,-0.024367884208743057,4,0.0625,directionally-supported
bnci_lee_validation,bnci2014_001,validation:threshold(label-known),adversarial_eegnet,attack_auc,4,-0.0128847903330285,0.021338522757875882,-0.04683914178854163,0.021069561122484627,3,0.3125,promising-but-underpowered
bnci_lee_validation,bnci2014_001,validation:threshold(label-known),bottleneck_eegnet,attack_auc,4,-0.004144101985215698,0.0034306729739042845,-0.009603068250435831,0.0013148642800044344,4,0.0625,practical-tie
bnci_lee_validation,bnci2014_001,validation:threshold(max-prob),csp_lda,attack_auc,4,-0.007612826384125887,0.030938212433475935,-0.05684242630963345,0.04161677354138168,2,0.6875,unstable-privacy-edge
bnci_lee_validation,bnci2014_001,validation:threshold(max-prob),bottleneck_eegnet,attack_auc,4,-0.0008280166418990764,0.007755352452472147,-0.013168513021172692,0.011512479737374539,3,0.3125,practical-tie
bnci_lee_validation,bnci2014_001,validation:threshold(max-prob),adversarial_eegnet,attack_auc,4,0.007114795881915881,0.02312834945846224,-0.029687569258787336,0.0439171610226191,2,0.6875,no-privacy-improvement
bnci_lee_validation,bnci2014_001,validation:threshold(neg-entropy),csp_lda,attack_auc,4,-0.0076131240712163095,0.030937805810803354,-0.05684207696931288,0.04161582882688026,2,0.6875,unstable-privacy-edge
bnci_lee_validation,bnci2014_001,validation:threshold(neg-entropy),bottleneck_eegnet,attack_auc,4,-0.0008289097031702747,0.007755417462151214,-0.013169509527350368,0.011511690121009818,3,0.3125,practical-tie
bnci_lee_validation,bnci2014_001,validation:threshold(neg-entropy),adversarial_eegnet,attack_auc,4,0.0071168052697759415,0.023125600823857815,-0.02968118617990656,0.04391479671945844,2,0.6875,no-privacy-improvement
seed_stability,bnci2014_001,learned+label,bottleneck_eegnet (dim=6),attack_auc,4,-0.0027729552469135943,0.021120907398509154,-0.036381032104231846,0.030835121610404657,2,0.6875,practical-tie
seed_stability,bnci2014_001,learned+label,"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,0.0013864776234567555,0.03509368141164337,-0.05445540075019697,0.05722835599711048,2,0.6875,practical-tie
seed_stability,bnci2014_001,learned+label,csp_lda,attack_auc,4,0.00542836130401235,0.03167911154518628,-0.04498017444182071,0.05583689704984541,1,0.9375,no-privacy-improvement
seed_stability,bnci2014_001,learned+label,adversarial_eegnet (constant@1.00),attack_auc,4,0.023992091049382727,0.005965929068235262,0.014498966588986079,0.03348521550977938,0,1.0,no-privacy-improvement
seed_stability,bnci2014_001,learned,bottleneck_eegnet (dim=6),attack_auc,4,-0.001534167631172853,0.017999140519187325,-0.030174816752962838,0.027106481490617132,2,0.6875,practical-tie
seed_stability,bnci2014_001,learned,csp_lda,attack_auc,4,0.004219714506172825,0.02289311030167391,-0.03220833264184079,0.04064776165418644,1,0.9375,practical-tie
seed_stability,bnci2014_001,learned,"adversarial_eegnet (linear_ramp@1.00, ramp=0.40)",attack_auc,4,0.02517963927469137,0.035044586785134155,-0.030584118592590574,0.08094339714197332,1,0.9375,no-privacy-improvement
seed_stability,bnci2014_001,learned,adversarial_eegnet (constant@1.00),attack_auc,4,0.041240174093364196,0.025586210347605668,0.0005268037998823819,0.08195354438684602,0,1.0,no-privacy-improvement
seed_stability,bnci2014_001,learned(mlp),csp_lda,attack_auc,4,-0.009706850405092574,0.026993913856428162,-0.05266019111386831,0.033246490303683165,3,0.3125,promising-but-underpowered
